Start,Stop
2510080,2510235
2515041,2515307
2518971,2519879
2523633,2523713
2526086,2526160
2530352,2530471
2536330,2536494
2538904,2539041
2540606,2540716
2542014,2542610
2544621,2545433
2546167,2546328
2547852,2547968
2548323,2548388
2556151,2556213
2562519,2562578
2562890,2562955
2574201,2574461
2575186,2575251
2578370,2578444
2582367,2582426
2583497,2584015
2585781,2585900
2586004,2586060
2591796,2591852
2592340,2592546
2592967,2593020
2593640,2593750
2594911,2595543
2595674,2596090
2596266,2597324
2607192,2607335
2609330,2609422
2614017,2614154
2617604,2617672
2626892,2626960
2627233,2627352
2627712,2627786
2631063,2631158
2634608,2634730
2635167,2637920
2643758,2643817
2643928,2643987
2644506,2644580
2648278,2648466
2649075,2649194
2650367,2650537
2653793,2653897
2654065,2654118
2657307,2657372
2658966,2659841
2662766,2662882
2664515,2664676
2664836,2665033
2669066,2669155
2675503,2675640
2677681,2677743
2679599,2681125
2683187,2684056
2684978,2685091
2685269,2685352
2685414,2685494
2687196,2687525
2688722,2688781
2689442,2690332
2692894,2693001
2693187,2693243
2694220,2694318
2695347,2695442
2702770,2702919
2703376,2703501
2705203,2705298
2705501,2705647
2708657,2708722
2709246,2709386
2710869,2712755
2712931,2713365
2718622,2718783
2721900,2721968
2723256,2723405
2727049,2727114
2728057,2728110
2729390,2729488
2733625,2733726
2733822,2733932
2734750,2735076
2735783,2735863
2737477,2737557
2741173,2741256
2742680,2742748
2743211,2743264
2745907,2746377
2746423,2746878
2747073,2747414
2748282,2748683
2750858,2750998
2756210,2756479
2757606,2757911
2758046,2759353
2760472,2760534
2763854,2763949
2766720,2766875
2770205,2770282
2771599,2772612
2773234,2773608
2774684,2775523
2775644,2776486
2782739,2782894
2783658,2783789
2785331,2785468
2786702,2787061
2787628,2787711
2788173,2788454
2789012,2789086
2790684,2790995
2793593,2793646
2795550,2795603
2796674,2796997
2798626,2799087
2802022,2802090
2802165,2802458
2802998,2803402
2803447,2803644
2804111,2804242
2805440,2807398
2807459,2810107
2811645,2811791
2814512,2814595
2818124,2818240
2820805,2821587
2822871,2822948
2824082,2824651
2825684,2825737
2827391,2828236
2829464,2829607
2830284,2830523
2832994,2833062
2834884,2834940
2836184,2836249
2840169,2840264
2840863,2841126
2842413,2843867
